Nama_Variety,Gred,Unit,Harga_Tinggi,Harga_Purata,Harga_Rendah,Tarikh
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 7.00, 7.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
BELIMBING (B10), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 2.20, 2.00, 2.00,2021-01-02
CILI MERAH (CHINA), F.A.Q, KILOGRAM, 16.00, 16.00, 16.00,2021-01-02
CILI MERAH (THAILAND), F.A.Q, KILOGRAM, 16.00, 16.00, 16.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-01-02
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 12.00, 12.00, 12.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 20.00, 20.00, 20.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 9.00, 8.00, 8.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 9.00, 8.00, 8.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 2.20, 2.00, 2.00,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 6.00, 6.00,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 6.00, 5.00, 5.00,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 6.00, 6.00, 5.00,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-01-02
SANTAN BIASA, F.A.Q, KILOGRAM, 9.00, 9.00, 9.00,2021-01-02
SANTAN PEKAT, F.A.Q, KILOGRAM, 12.00, 12.00, 12.00,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 5.00, 4.00, 4.00,2021-01-02
TELUR AYAM, A, BIJI, .34, .34, .34,2021-01-02
TELUR AYAM, B, BIJI, .33, .33, .33,2021-01-02
TELUR AYAM, C, BIJI, .31, .31, .31,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 2.80, 2.80, 2.80,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 5.00, 5.00, 4.00,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.00, 3.00,2021-01-02
Pusat : MELAKA TENGAH, MELAKA],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.80, 7.80, 7.80,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.50, 4.50, 4.50,2021-01-02
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 20.00, 19.00, 18.00,2021-01-02
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 16.00, 16.00, 16.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
BELIMBING (B10), F.A.Q, KILOGRAM, 8.00, 7.00, 6.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.00, 2.50,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 2.50, 2.50, 2.00,2021-01-02
CILI HIJAU, F.A.Q, KILOGRAM, 16.00, 15.00, 15.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 22.00, 20.00, 20.00,2021-01-02
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 20.00, 20.00, 20.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 18.00, 16.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 18.00, 18.00, 16.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 7.00, 7.00,2021-01-02
KACANG BUNCIS, F.A.Q, KILOGRAM, 10.00, 10.00, 9.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 2.00, 2.00, 2.00,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 4.00, 3.50, 3.50,2021-01-02
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.00, 2.80, 2.80,2021-01-02
KUBIS BULAT (INDONESIA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 4.70, 4.60, 4.50,2021-01-02
SANTAN PEKAT, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
TELUR AYAM, A, BIJI, .35, .35, .35,2021-01-02
TELUR AYAM, B, BIJI, .34, .34, .34,2021-01-02
TELUR AYAM, C, BIJI, .33, .33, .33,2021-01-02
TEMBIKAI MERAH, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 9.00, 9.00, 8.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 3.00, 3.00, 2.50,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.00, 4.00,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
Pusat : SEREMBAN, NEGERI SEMBILAN],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 7.50, 7.45, 7.40,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-01-02
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-01-02
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 20.00, 19.50, 19.00,2021-01-02
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 20.00, 19.50, 19.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 7.50, 7.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-01-02
BELIMBING (B10), F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 2.00, 1.90, 1.80,2021-01-02
CILI HIJAU, F.A.Q, KILOGRAM, 13.00, 12.50, 12.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 23.00, 22.50, 22.00,2021-01-02
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 20.00, 19.50, 19.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 16.00, 15.50, 15.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 20.00, 19.50, 19.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 7.00, 6.75, 6.50,2021-01-02
KACANG BUNCIS, F.A.Q, KILOGRAM, 11.00, 10.50, 10.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 5.50, 5.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.40, 2.30,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 7.50, 7.35, 7.20,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 7.00, 6.75, 6.50,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-01-02
SANTAN BIASA, F.A.Q, KILOGRAM, 9.00, 8.75, 8.50,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-01-02
TELUR AYAM, A, BIJI, .37, .37, .37,2021-01-02
TELUR AYAM, B, BIJI, .36, .36, .36,2021-01-02
TELUR AYAM, C, BIJI, .34, .34, .34,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 2.50, 2.25, 2.00,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.25, 3.00,2021-01-02
Pusat : KUANTAN, PAHANG],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM HIDUP, F.A.Q, KILOGRAM, 6.20, 6.20, 6.20,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 8.80, 8.80, 8.80,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
BAWANG MERAH / KECIL (IMPORT), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-01-02
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 14.00, 14.00, 14.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 5.00, 5.00, 4.50,2021-01-02
BELIMBING (B10), F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 2.00, 2.00, 2.00,2021-01-02
CILI HIJAU, F.A.Q, KILOGRAM, 14.00, 14.00, 14.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 24.00, 24.00, 24.00,2021-01-02
CILI MERAH MINYAK, F.A.Q, KILOGRAM, 20.00, 20.00, 20.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 18.00, 18.00, 18.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 8.00, 8.00, 7.00,2021-01-02
KACANG BUNCIS, F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 2.50, 2.50, 2.50,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 6.50, 6.00, 6.00,2021-01-02
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
SANTAN BIASA, F.A.Q, KILOGRAM, 7.00, 7.00, 7.00,2021-01-02
SANTAN PEKAT, F.A.Q, KILOGRAM, 15.00, 15.00, 15.00,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 5.50, 5.00, 5.00,2021-01-02
TELUR AYAM, A, BIJI, .37, .37, .37,2021-01-02
TELUR AYAM, B, BIJI, .35, .35, .35,2021-01-02
TELUR AYAM, C, BIJI, .33, .33, .33,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 2.50, 2.50, 2.50,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 10.00, 10.00, 10.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.00, 3.00, 3.00,2021-01-02
Pusat : SEBERANG PERAI TENGAH, PULAU PINANG],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 8.50, 8.50, 8.50,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
BAWANG BESAR MERAH (IMPORT), F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
BAWANG MERAH / KECIL (INDIA), F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-01-02
BAWANG MERAH / KECIL (THAI), F.A.Q, KILOGRAM, 20.00, 19.50, 19.00,2021-01-02
BAWANG MERAH ROSE, F.A.Q, KILOGRAM, 18.00, 17.50, 17.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 7.00, 6.00, 5.00,2021-01-02
BETIK SEKAKI, F.A.Q, KILOGRAM, 5.00, 4.50, 4.00,2021-01-02
BUNGA KANTAN, F.A.Q, TANGKAI, 1.50, 1.50, 1.50,2021-01-02
CILI HIJAU, F.A.Q, KILOGRAM, 14.00, 13.00, 12.00,2021-01-02
CILI MERAH KULAI / KULAI HIBRID, F.A.Q, KILOGRAM, 24.00, 23.00, 22.00,2021-01-02
DAUN BAWANG, F.A.Q, KILOGRAM, 20.00, 19.00, 18.00,2021-01-02
DAUN SUP (TANAH TINGGI), F.A.Q, KILOGRAM, 22.00, 21.00, 20.00,2021-01-02
KACANG BENDI, F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-01-02
KACANG BUNCIS, F.A.Q, KILOGRAM, 12.00, 11.00, 10.00,2021-01-02
KACANG PANJANG HIJAU, F.A.Q, KILOGRAM, 9.00, 8.50, 8.00,2021-01-02
KANGKUNG, F.A.Q, KILOGRAM, 5.00, 5.00, 5.00,2021-01-02
KELAPA DIKUPAS, SEDANG, BIJI, 3.00, 2.75, 2.50,2021-01-02
KELAPA PARUT, F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-01-02
KETOLA / PETOLA SEGI, F.A.Q, KILOGRAM, 7.00, 6.50, 6.00,2021-01-02
KUBIS BULAT (CHINA), F.A.Q, KILOGRAM, 4.50, 4.25, 4.00,2021-01-02
KUBIS BULAT (TANAH TINGGI), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
PISANG BERANGAN, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
PISANG MAS, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
SANTAN PEKAT, F.A.Q, KILOGRAM, 13.00, 12.50, 12.00,2021-01-02
SAWI HIJAU, F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
TELUR AYAM, A, BIJI, .36, .36, .36,2021-01-02
TELUR AYAM, B, BIJI, .35, .35, .35,2021-01-02
TELUR AYAM, C, BIJI, .33, .33, .33,2021-01-02
TEMBIKAI MERAH TANPA BIJI, F.A.Q, KILOGRAM, 4.00, 3.75, 3.50,2021-01-02
TERUNG PANJANG / PEPARU (TANAH RENDAH), F.A.Q, KILOGRAM, 10.00, 9.50, 9.00,2021-01-02
TIMUN HIJAU , F.A.Q, KILOGRAM, 5.50, 5.25, 5.00,2021-01-02
TOMATO (TANAH TINGGI), F.A.Q, KILOGRAM, 5.00, 4.75, 4.50,2021-01-02
UBI KENTANG HOLLAND, F.A.Q, KILOGRAM, 3.50, 3.50, 3.50,2021-01-02
Pusat : KINTA, PERAK],,,,,2021-01-02
Nama Varieti, Gred, Unit, Harga],,,2021-01-02
Tinggi, Purata, Rendah],,,,2021-01-02
AYAM PROSES STANDARD, F.A.Q, KILOGRAM, 8.30, 8.30, 8.30,2021-01-02
BAWANG BESAR KUNING / HOLLAND, F.A.Q, KILOGRAM, 4.00, 4.00, 4.00,2021-01-02
BAWANG BESAR MERAH (INDIA), F.A.Q, KILOGRAM, 6.00, 6.00, 6.00,2021-01-02
BAWANG PUTIH (CHINA), F.A.Q, KILOGRAM, 8.00, 8.00, 8.00,2021-01-02
BAYAM , F.A.Q, KILOGRAM, 3.50, 3.00, 3.00,2021-01-02
